"STATION","NAME","DATE","TMAX","TMIN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-02","98","75"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-03","99","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-04","95","75"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-05","96","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-06","94","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-07","95","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-08","100","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-09","97","80"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-10","95","78"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-11","100","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-12","93","78"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-13","92","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-14","98","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-15","87","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-16","83","68"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-17","83","64"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-18","76","67"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-19","84","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-20","86","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-21","78","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-22","80","66"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-23","86","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-24","91","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-25","93","70"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-26","94","71"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-27","97","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-28","97","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-29","96","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-30","96","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-31","95","78"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-01","99","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-02","101","78"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-03","92","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-04","93","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-05","91","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-06","94","75"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-07","87","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-08","87","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-09","92","67"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-10","83","67"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-11","84","59"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-12","90","62"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-13","92","68"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-14","94","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-15","84","67"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-16","77","61"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-17","91","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-18","83","71"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-19","85","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-20","86","70"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-21","92","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-22","95","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-23","90","74"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-24","76","67"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-25","75","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-26","77","58"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-27","70","52"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-28","77","52"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-29","79","56"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-09-30","74","62"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-01","79","64"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-02","83","60"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-03","62","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-04","67","53"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-05","66","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-06","67","50"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-07","70","49"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-08","76","51"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-09","85","58"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-10","65","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-11","76","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-12","65","50"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-13","62","46"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-14","65","41"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-10-15","75","52"
